X,CH1,CH2,Start,Increment
Sequence,VOLT,VOLT,-6.00E-5,2.00E-9
0,9.03E-1,3.34E+0
1,9.20E-1,3.36E+0
2,1.03E+0,3.40E+0
3,1.06E+0,3.40E+0
4,1.08E+0,3.44E+0
5,1.03E+0,3.46E+0
6,1.00E+0,1.87E+0
7,1.04E+0,2.31E-1
8,4.43E-1,-2.10E-2
9,3.83E-1,2.10E-2
10,2.98E-1,-2.10E-2
11,1.62E-1,-2.10E-2
12,4.26E-2,-6.30E-2
13,-4.26E-2,-1.26E-1
14,3.41E-2,7.56E-1
15,1.02E-1,2.67E+0
16,4.00E-1,3.34E+0
17,9.62E-1,3.34E+0
18,9.28E-1,3.36E+0
19,1.06E+0,3.42E+0
20,1.08E+0,3.40E+0
21,1.06E+0,3.51E+0
22,1.02E+0,3.17E+0
23,1.01E+0,1.15E+0
24,8.00E-1,4.20E-2
25,4.43E-1,4.20E-2
26,3.41E-1,0.00E+0
27,2.55E-1,-4.20E-2
28,1.28E-1,-2.10E-2
29,-8.52E-3,-8.40E-2
30,-1.70E-2,-6.30E-2
31,5.11E-2,1.45E+0
32,1.02E-1,3.04E+0
33,7.07E-1,3.32E+0
34,9.37E-1,3.32E+0
35,9.88E-1,3.40E+0
36,1.06E+0,3.38E+0
37,1.09E+0,3.44E+0
38,1.04E+0,3.51E+0
39,1.01E+0,2.62E+0
40,1.03E+0,5.88E-1
41,5.45E-1,0.00E+0
42,4.43E-1,4.20E-2
43,3.07E-1,-2.10E-2
44,2.13E-1,-6.30E-2
45,8.52E-2,-2.10E-2
46,-3.41E-2,-1.26E-1
47,0.00E+0,2.31E-1
48,8.52E-2,2.12E+0
49,1.53E-1,3.23E+0
50,9.03E-1,3.32E+0
51,9.20E-1,3.36E+0
52,1.03E+0,3.40E+0
53,1.06E+0,3.40E+0
54,1.08E+0,3.44E+0
55,1.04E+0,3.49E+0
56,1.00E+0,1.87E+0
57,1.04E+0,2.31E-1
58,4.43E-1,0.00E+0
59,3.92E-1,2.10E-2
60,2.90E-1,-4.20E-2
61,1.62E-1,-2.10E-2
62,4.26E-2,-4.20E-2
63,-5.11E-2,-1.47E-1
64,3.41E-2,7.56E-1
65,1.02E-1,2.67E+0
66,4.09E-1,3.32E+0
67,9.62E-1,3.34E+0
68,9.37E-1,3.38E+0
69,1.06E+0,3.42E+0
70,1.07E+0,3.40E+0
71,1.06E+0,3.51E+0
72,1.02E+0,3.19E+0
73,1.01E+0,1.13E+0
74,8.00E-1,4.20E-2
75,4.43E-1,2.10E-2
76,3.32E-1,-2.10E-2
77,2.55E-1,-2.10E-2
78,1.28E-1,-4.20E-2
79,-8.52E-3,-8.40E-2
80,-2.55E-2,-6.30E-2
81,5.96E-2,1.45E+0
82,1.11E-1,3.02E+0
83,7.15E-1,3.36E+0
84,9.45E-1,3.32E+0
85,9.88E-1,3.40E+0
86,1.06E+0,3.40E+0
87,1.09E+0,3.42E+0
88,1.04E+0,3.53E+0
89,1.01E+0,2.60E+0
90,1.03E+0,5.67E-1
91,5.45E-1,-2.10E-2
92,4.34E-1,2.10E-2
93,3.07E-1,0.00E+0
94,2.21E-1,-4.20E-2
95,7.66E-2,-4.20E-2
96,-3.41E-2,-1.47E-1
97,0.00E+0,2.52E-1
98,8.52E-2,2.12E+0
99,1.62E-1,3.23E+0
100,9.03E-1,3.34E+0
101,9.20E-1,3.36E+0
102,1.03E+0,3.40E+0
103,1.07E+0,3.42E+0
104,1.08E+0,3.44E+0
105,1.03E+0,3.46E+0
106,1.00E+0,1.85E+0
107,1.04E+0,2.31E-1
108,4.43E-1,0.00E+0
109,3.83E-1,4.20E-2
110,2.98E-1,-2.10E-2
111,1.62E-1,-4.20E-2
112,4.26E-2,-4.20E-2
113,-4.26E-2,-1.47E-1
114,3.41E-2,7.77E-1
115,1.02E-1,2.67E+0
116,4.09E-1,3.32E+0
117,9.62E-1,3.34E+0
118,9.37E-1,3.36E+0
119,1.06E+0,3.40E+0
120,1.07E+0,3.40E+0
121,1.06E+0,3.51E+0
122,1.02E+0,3.15E+0
123,1.01E+0,1.13E+0
124,7.92E-1,4.20E-2
125,4.43E-1,4.20E-2
126,3.32E-1,0.00E+0
127,2.55E-1,-4.20E-2
128,1.19E-1,-4.20E-2
129,-8.52E-3,-8.40E-2
130,-2.55E-2,-6.30E-2
131,5.96E-2,1.45E+0
132,1.11E-1,3.04E+0
133,7.15E-1,3.36E+0
134,9.37E-1,3.32E+0
135,9.88E-1,3.40E+0
136,1.06E+0,3.38E+0
137,1.09E+0,3.42E+0
138,1.04E+0,3.51E+0
139,1.01E+0,2.60E+0
140,1.03E+0,5.67E-1
141,5.45E-1,0.00E+0
142,4.43E-1,4.20E-2
143,3.07E-1,-2.10E-2
144,2.13E-1,-4.20E-2
145,7.66E-2,-4.20E-2
146,-3.41E-2,-1.26E-1
147,0.00E+0,2.52E-1
148,8.52E-2,2.12E+0
149,1.62E-1,3.25E+0
150,9.03E-1,3.32E+0
151,9.20E-1,3.36E+0
152,1.03E+0,3.40E+0
153,1.06E+0,3.40E+0
154,1.08E+0,3.44E+0
155,1.04E+0,3.46E+0
156,1.00E+0,1.83E+0
157,1.04E+0,2.31E-1
158,4.43E-1,0.00E+0
159,3.83E-1,2.10E-2
160,2.90E-1,-4.20E-2
161,1.62E-1,-4.20E-2
162,4.26E-2,-6.30E-2
163,-5.11E-2,-1.47E-1
164,3.41E-2,7.98E-1
165,1.02E-1,2.69E+0
166,4.09E-1,3.32E+0
167,9.62E-1,3.34E+0
