Sep 19, 2019  07:01:52 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 1981 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 20
Scan Start Mass, 1, amu 
Scan Stop Mass, 100, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.72E-004 
Filament Current, 1.00, mAmps


 10.45,  -5.41E-011, 
 10.50,  -1.19E-010, 
 10.55,  -2.85E-011, 
 10.60,  -5.47E-011, 
 10.65,   4.53E-011, 
 10.70,  -2.91E-012, 
 10.75,  -1.34E-011, 
 10.80,  -3.49E-012, 
 10.85,  -6.57E-011, 
 10.90,   6.98E-012, 
 10.95,   6.98E-012, 
 11.00,  -1.05E-011, 
 11.05,   2.62E-011, 
 11.10,  -3.26E-011, 
 11.15,  -1.98E-011, 
 11.20,  -4.53E-011, 
 11.25,  -9.42E-011, 
 11.30,  -1.51E-010, 
 11.35,  -2.03E-010, 
 11.40,  -2.31E-010, 
 11.45,  -1.17E-010, 
 11.50,   5.58E-011, 
 11.55,   2.48E-010, 
 11.60,   5.85E-010, 
 11.65,   1.07E-009, 
 11.70,   1.71E-009, 
 11.75,   2.36E-009, 
 11.80,   3.05E-009, 
 11.85,   3.61E-009, 
 11.90,   4.01E-009, 
 11.95,   4.48E-009, 
 12.00,   4.75E-009, 
 12.05,   5.04E-009, 
 12.10,   5.09E-009, 
 12.15,   5.18E-009, 
 12.20,   5.22E-009, 
 12.25,   4.89E-009, 
 12.30,   4.81E-009, 
 12.35,   4.28E-009, 
 12.40,   3.23E-009, 
 12.45,   2.40E-009, 
 12.50,   1.75E-009, 
 12.55,   1.53E-009, 
 12.60,   1.44E-009, 
 12.65,   1.55E-009, 
 12.70,   2.03E-009, 
 12.75,   2.71E-009, 
 12.80,   3.43E-009, 
 12.85,   3.94E-009, 
 12.90,   4.40E-009, 
 12.95,   4.86E-009, 
 13.00,   5.04E-009, 
 13.05,   5.32E-009, 
 13.10,   5.42E-009, 
 13.15,   5.41E-009, 
 13.20,   5.54E-009, 
 13.25,   5.25E-009, 
 13.30,   5.14E-009, 
