Sep 19, 2019  04:20:11 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.72E-004 
Filament Current, 1.00, mAmps


 20.10,   1.86E-009, 
 20.20,   1.94E-009, 
 20.30,   1.89E-009, 
 20.40,   1.75E-009, 
 20.50,   1.20E-009, 
 20.60,   6.31E-010, 
 20.70,   4.21E-010, 
 20.80,   2.86E-010, 
 20.90,   1.91E-010, 
 21.00,   1.98E-010, 
 21.10,   9.30E-011, 
 21.20,  -2.91E-012, 
 21.30,  -3.90E-011, 
 21.40,  -1.03E-010, 
 21.50,  -9.07E-011, 
 21.60,  -1.05E-011, 
 21.70,   2.73E-011, 
 21.80,  -2.91E-012, 
 21.90,   4.07E-012, 
 22.00,   1.13E-010, 
 22.10,   1.37E-010, 
 22.20,   1.84E-010, 
 22.30,   1.52E-010, 
 22.40,   1.31E-010, 
 22.50,  -3.90E-011, 
 22.60,  -5.41E-011, 
 22.70,  -1.63E-011, 
 22.80,  -4.53E-011, 
 22.90,  -4.24E-011, 
 23.00,  -8.31E-011, 
 23.10,  -8.14E-011, 
 23.20,  -2.56E-011, 
 23.30,  -8.49E-011, 
 23.40,  -2.09E-010, 
 23.50,  -2.08E-010, 
 23.60,  -2.88E-010, 
 23.70,  -1.79E-010, 
 23.80,   9.88E-011, 
 23.90,   2.92E-010, 
 24.00,   3.76E-010, 
 24.10,   5.63E-010, 
 24.20,   5.86E-010, 
 24.30,   5.94E-010, 
 24.40,   6.69E-010, 
 24.50,   5.33E-010, 
 24.60,   2.81E-010, 
 24.70,   4.97E-010, 
 24.80,   9.70E-010, 
 24.90,   1.53E-009, 
 25.00,   1.96E-009, 
 25.10,   2.34E-009, 
 25.20,   2.63E-009, 
 25.30,   2.74E-009, 
 25.40,   2.50E-009, 
 25.50,   2.09E-009, 
 25.60,   1.58E-009, 
 25.70,   2.52E-009, 
 25.80,   5.11E-009, 
 25.90,   9.22E-009, 
 26.00,   1.25E-008, 
 26.10,   1.48E-008, 
 26.20,   1.53E-008, 
 26.30,   1.57E-008, 
 26.40,   1.40E-008, 
 26.50,   1.04E-008, 
 26.60,   5.33E-009, 
 26.70,   5.33E-009, 
 26.80,   9.42E-009, 
 26.90,   1.74E-008, 
 27.00,   2.40E-008, 
 27.10,   2.86E-008, 
 27.20,   2.92E-008, 
 27.30,   2.96E-008, 
 27.40,   2.64E-008, 
 27.50,   1.95E-008, 
 27.60,   1.09E-008, 
 27.70,   1.90E-008, 
 27.80,   4.51E-008, 
 27.90,   7.78E-008, 
 28.00,   9.07E-008, 
 28.10,   1.01E-007, 
 28.20,   9.65E-008, 
 28.30,   9.54E-008, 
 28.40,   8.07E-008, 
 28.50,   4.38E-008, 
 28.60,   1.20E-008, 
 28.70,   7.81E-009, 
 28.80,   1.04E-008, 
 28.90,   1.85E-008, 
 29.00,   2.55E-008, 
 29.10,   3.04E-008, 
 29.20,   3.10E-008, 
 29.30,   3.14E-008, 
 29.40,   2.81E-008, 
 29.50,   2.03E-008, 
 29.60,   8.19E-009, 
 29.70,   4.60E-009, 
 29.80,   4.26E-009, 
 29.90,   5.52E-009, 
 30.00,   7.04E-009, 
 30.10,   8.49E-009, 
 30.20,   9.07E-009, 
 30.30,   9.11E-009, 
 30.40,   8.49E-009, 
 30.50,   6.92E-009, 
 30.60,   3.54E-009, 
 30.70,   1.92E-009, 
 30.80,   1.48E-009, 
 30.90,   1.51E-009, 
 31.00,   1.77E-009, 
 31.10,   1.98E-009, 
 31.20,   2.18E-009, 
 31.30,   2.30E-009, 
 31.40,   2.16E-009, 
 31.50,   1.84E-009, 
 31.60,   1.17E-009, 
 31.70,   1.36E-009, 
 31.80,   2.34E-009, 
 31.90,   4.19E-009, 
 32.00,   6.00E-009, 
 32.10,   7.48E-009, 
 32.20,   7.95E-009, 
 32.30,   8.10E-009, 
 32.40,   7.65E-009, 
 32.50,   5.86E-009, 
 32.60,   2.90E-009, 
 32.70,   1.35E-009, 
 32.80,   8.52E-010, 
 32.90,   5.74E-010, 
 33.00,   5.70E-010, 
 33.10,   6.72E-010, 
 33.20,   5.59E-010, 
 33.30,   5.12E-010, 
 33.40,   4.38E-010, 
 33.50,   3.12E-010, 
 33.60,   2.22E-010, 
 33.70,   1.01E-010, 
 33.80,   2.13E-010, 
 33.90,   4.12E-010, 
 34.00,   7.34E-010, 
 34.10,   9.82E-010, 
 34.20,   1.09E-009, 
 34.30,   1.22E-009, 
 34.40,   1.16E-009, 
 34.50,   6.98E-010, 
 34.60,   2.94E-010, 
 34.70,   1.34E-010, 
 34.80,  -4.77E-011, 
 34.90,  -4.94E-011, 
 35.00,  -1.74E-012, 
 35.10,   4.07E-011, 
 35.20,   2.56E-011, 
 35.30,   7.50E-011, 
 35.40,   8.14E-012, 
 35.50,  -5.99E-011, 
 35.60,  -1.09E-010, 
 35.70,  -4.42E-011, 
 35.80,   5.93E-011, 
 35.90,   2.54E-010, 
 36.00,   4.63E-010, 
 36.10,   7.18E-010, 
 36.20,   8.76E-010, 
 36.30,   8.68E-010, 
 36.40,   8.16E-010, 
 36.50,   6.88E-010, 
 36.60,   3.03E-010, 
 36.70,   1.56E-010, 
 36.80,   2.15E-010, 
 36.90,   3.41E-010, 
 37.00,   5.12E-010, 
 37.10,   6.64E-010, 
 37.20,   8.56E-010, 
 37.30,   9.08E-010, 
 37.40,   8.47E-010, 
 37.50,   8.13E-010, 
 37.60,   5.85E-010, 
 37.70,   3.48E-010, 
 37.80,   4.63E-010, 
 37.90,   7.16E-010, 
 38.00,   1.14E-009, 
 38.10,   1.55E-009, 
 38.20,   1.97E-009, 
 38.30,   2.09E-009, 
 38.40,   2.08E-009, 
 38.50,   1.91E-009, 
 38.60,   1.30E-009, 
 38.70,   1.14E-009, 
 38.80,   2.17E-009, 
 38.90,   4.44E-009, 
 39.00,   7.91E-009, 
 39.10,   1.13E-008, 
 39.20,   1.39E-008, 
 39.30,   1.46E-008, 
 39.40,   1.44E-008, 
 39.50,   1.22E-008, 
 39.60,   6.86E-009, 
 39.70,   3.30E-009, 
 39.80,   2.07E-009, 
 39.90,   1.90E-009, 
 40.00,   2.48E-009, 
 40.10,   3.02E-009, 
 40.20,   3.66E-009, 
 40.30,   3.82E-009, 
 40.40,   3.84E-009, 
 40.50,   3.53E-009, 
 40.60,   2.69E-009, 
 40.70,   2.13E-009, 
 40.80,   3.56E-009, 
 40.90,   7.53E-009, 
 41.00,   1.47E-008, 
 41.10,   2.25E-008, 
 41.20,   2.89E-008, 
 41.30,   2.95E-008, 
 41.40,   2.98E-008, 
 41.50,   2.50E-008, 
 41.60,   1.41E-008, 
 41.70,   5.85E-009, 
 41.80,   3.67E-009, 
 41.90,   3.50E-009, 
 42.00,   4.82E-009, 
 42.10,   6.64E-009, 
 42.20,   8.61E-009, 
 42.30,   9.20E-009, 
 42.40,   9.55E-009, 
 42.50,   8.74E-009, 
 42.60,   6.25E-009, 
 42.70,   3.38E-009, 
 42.80,   2.85E-009, 
 42.90,   4.10E-009, 
 43.00,   7.37E-009, 
 43.10,   1.13E-008, 
 43.20,   1.55E-008, 
 43.30,   1.71E-008, 
 43.40,   1.80E-008, 
 43.50,   1.59E-008, 
 43.60,   1.10E-008, 
 43.70,   6.11E-009, 
 43.80,   6.25E-009, 
 43.90,   1.00E-008, 
 44.00,   1.66E-008, 
 44.10,   2.38E-008, 
 44.20,   2.81E-008, 
 44.30,   2.92E-008, 
 44.40,   2.74E-008, 
 44.50,   2.17E-008, 
 44.60,   1.03E-008, 
 44.70,   4.42E-009, 
 44.80,   2.39E-009, 
 44.90,   1.63E-009, 
 45.00,   1.56E-009, 
 45.10,   1.71E-009, 
 45.20,   1.97E-009, 
 45.30,   2.09E-009, 
 45.40,   2.11E-009, 
 45.50,   1.98E-009, 
 45.60,   1.39E-009, 
 45.70,   8.18E-010, 
 45.80,   4.36E-010, 
 45.90,   2.56E-010, 
 46.00,   3.46E-010, 
 46.10,   3.15E-010, 
 46.20,   3.60E-010, 
 46.30,   4.25E-010, 
 46.40,   4.84E-010, 
 46.50,   4.97E-010, 
 46.60,   3.71E-010, 
 46.70,   1.21E-010, 
 46.80,  -4.83E-011, 
 46.90,   3.84E-011, 
 47.00,   8.31E-011, 
 47.10,   1.67E-010, 
 47.20,   2.95E-010, 
 47.30,   3.73E-010, 
 47.40,   4.03E-010, 
 47.50,   2.88E-010, 
 47.60,   2.07E-010, 
 47.70,   1.53E-010, 
 47.80,   6.74E-011, 
 47.90,   1.08E-010, 
 48.00,   1.73E-010, 
 48.10,   2.56E-010, 
 48.20,   3.66E-010, 
 48.30,   4.16E-010, 
 48.40,   4.44E-010, 
 48.50,   4.20E-010, 
 48.60,   2.51E-010, 
 48.70,   8.43E-011, 
 48.80,  -4.01E-011, 
 48.90,  -5.17E-011, 
 49.00,  -8.95E-011, 
 49.10,   1.98E-011, 
 49.20,   1.22E-011, 
 49.30,   2.21E-011, 
 49.40,   3.31E-011, 
 49.50,   5.70E-011, 
 49.60,   2.09E-011, 
 49.70,  -8.72E-012, 
 49.80,   1.28E-011, 
 49.90,   1.71E-010, 
 50.00,   4.06E-010, 
 50.10,   6.55E-010, 
 50.20,   8.28E-010, 
 50.30,   9.71E-010, 
 50.40,   1.17E-009, 
 50.50,   1.11E-009, 
 50.60,   9.02E-010, 
 50.70,   5.39E-010, 
 50.80,   3.17E-010, 
 50.90,   2.72E-010, 
 51.00,   4.52E-010, 
 51.10,   7.01E-010, 
 51.20,   1.04E-009, 
 51.30,   1.37E-009, 
 51.40,   1.37E-009, 
 51.50,   1.38E-009, 
 51.60,   1.08E-009, 
 51.70,   5.51E-010, 
 51.80,   1.15E-010, 
 51.90,   4.88E-011, 
 52.00,   1.23E-010, 
 52.10,   3.04E-010, 
 52.20,   4.74E-010, 
 52.30,   6.02E-010, 
 52.40,   6.25E-010, 
 52.50,   5.47E-010, 
 52.60,   4.94E-010, 
 52.70,   2.08E-010, 
 52.80,   4.13E-011, 
 52.90,   1.70E-010, 
 53.00,   4.56E-010, 
 53.10,   9.30E-010, 
 53.20,   1.62E-009, 
 53.30,   2.01E-009, 
 53.40,   2.35E-009, 
 53.50,   2.36E-009, 
 53.60,   1.90E-009, 
 53.70,   1.10E-009, 
 53.80,   6.58E-010, 
 53.90,   5.12E-010, 
 54.00,   5.50E-010, 
 54.10,   8.90E-010, 
 54.20,   1.35E-009, 
 54.30,   1.74E-009, 
 54.40,   1.95E-009, 
 54.50,   2.10E-009, 
 54.60,   1.86E-009, 
 54.70,   1.20E-009, 
 54.80,   8.80E-010, 
 54.90,   1.52E-009, 
 55.00,   2.88E-009, 
 55.10,   5.05E-009, 
 55.20,   7.93E-009, 
 55.30,   1.07E-008, 
 55.40,   1.27E-008, 
 55.50,   1.29E-008, 
 55.60,   1.04E-008, 
 55.70,   6.08E-009, 
 55.80,   3.15E-009, 
 55.90,   2.35E-009, 
 56.00,   2.79E-009, 
 56.10,   4.16E-009, 
 56.20,   5.91E-009, 
 56.30,   8.07E-009, 
 56.40,   9.49E-009, 
 56.50,   9.87E-009, 
 56.60,   8.47E-009, 
 56.70,   5.20E-009, 
 56.80,   2.69E-009, 
 56.90,   2.03E-009, 
 57.00,   2.41E-009, 
 57.10,   3.75E-009, 
 57.20,   5.43E-009, 
 57.30,   7.68E-009, 
 57.40,   9.24E-009, 
 57.50,   9.88E-009, 
 57.60,   8.66E-009, 
 57.70,   5.53E-009, 
 57.80,   2.70E-009, 
 57.90,   1.52E-009, 
 58.00,   9.68E-010, 
 58.10,   7.11E-010, 
 58.20,   7.01E-010, 
 58.30,   7.95E-010, 
 58.40,   9.67E-010, 
 58.50,   9.56E-010, 
 58.60,   9.16E-010, 
 58.70,   5.76E-010, 
 58.80,   3.37E-010, 
 58.90,   2.60E-010, 
 59.00,   2.44E-010, 
 59.10,   2.73E-010, 
 59.20,   3.79E-010, 
 59.30,   4.42E-010, 
 59.40,   4.70E-010, 
 59.50,   4.28E-010, 
 59.60,   3.47E-010, 
 59.70,   2.06E-010, 
 59.80,   7.79E-011, 
 59.90,   3.02E-011, 
 60.00,  -6.98E-011, 
 60.10,  -4.48E-011, 
 60.20,   6.45E-011, 
 60.30,   9.88E-011, 
 60.40,   1.16E-010, 
 60.50,   7.44E-011, 
